x1,x2,y
-0.937965347,0.216708245,1
-0.511504401,0.75310095,1
0.291413453,0.632230215,-1
1.63283116,0.653370901,1
-1.193272276,-0.11106319,-1
1.59355874,1.878112664,1
1.778701074,-0.391211749,1
0.64319117,1.398208415,1
0.516456176,1.02657963,1
-1.752854918,0.130404877,-1
-1.1761017,1.496598643,1
-1.29377299,-0.131539538,-1
0.748091387,-1.967486179,-1
-0.463585127,0.911068019,1
1.07936568,0.866357915,1
-0.009203032,-1.250294516,-1
0.870474033,0.584269107,1
1.967624379,0.167917119,1
-0.479859282,-0.658716961,1
1.109780885,0.551634893,1
1.738820924,1.316804255,1
-1.151429915,0.835900794,1
0.606695064,-0.605798597,-1
-1.497779616,-1.4866885,-1
-0.931117325,-0.447686044,-1
-0.45554363,1.712710193,1
-1.946438667,1.217563085,1
-0.470448172,1.034787228,1
1.478763383,1.828999556,1
-0.638604013,1.975655515,1
-0.071679538,0.425763979,1
0.398263302,-1.882491338,-1
-0.025834772,-0.654218568,-1
-1.255129594,-0.889367653,-1
1.309493274,-1.531209799,-1
0.673866953,-1.827126964,-1
1.176959443,-0.518760857,1
-1.568225496,-0.652486765,-1
0.894843784,-1.305389786,-1
-0.354902281,0.487093118,1
1.283785176,-0.40862549,1
0.588240775,1.822703075,1
1.131731049,0.613397772,1
0.212145247,-0.685025133,-1
0.118878321,-1.211413146,-1
1.157424927,-1.538630701,-1
-1.906675191,1.983861915,1
-0.09107974,-0.482893099,-1
0.929254955,0.247952371,1
0.770926226,0.930872071,1
-0.089521511,1.483222212,1
1.444837907,0.288681039,1
-0.247611571,-1.955855716,-1
-1.020810892,1.625261045,1
-1.717283811,1.082614526,1
-1.602135359,-0.469981506,-1
-0.734913171,-1.623816445,-1
0.074537053,-1.801385664,-1
0.648020306,1.284649272,1
-0.372679251,1.317297217,1
1.651503697,0.618931503,1
-0.825586509,-1.468688748,-1
-0.163737095,-0.632760395,-1
-0.670421303,0.925486316,1
0.603481868,1.629165664,1
-0.967932877,0.784787998,1
-0.085819007,-1.033683111,-1
1.065242683,0.576428914,1
-1.663012343,-0.876999145,-1
1.50128532,1.830546083,1
-0.643708249,-1.366416173,-1
1.357761401,-0.326644033,1
-0.613266043,-0.99196081,-1
-0.664900277,-1.622438929,-1
-0.09459502,1.310871079,1
1.568793343,0.101222015,1
1.457357883,0.67099051,1
-0.440041826,-0.366888961,1
1.109282795,1.370359614,1
1.842471989,0.949221872,1
-0.261362061,-0.607102396,1
0.850058715,1.79575271,1
-0.400022524,0.58671676,1
-0.698591392,-1.858888933,-1
1.028348592,0.385793823,1
-1.189230979,-0.338727994,-1
0.84448489,-1.692411847,-1
-1.513232316,0.112195517,-1
-1.018045944,1.849333234,1
-1.426782482,0.834960205,-1
-1.04148234,0.213902814,1
-1.764262491,-1.028173564,-1
0.569153034,1.112170116,1
1.505076851,0.607763774,1
1.11565871,1.320982816,1
1.189235304,0.59420379,1
-0.178902186,-0.080656823,1
-0.359663672,-0.019743578,1
1.243480971,-0.480509634,1
0.419733161,-0.198058251,-1
0.618895712,1.257007002,1
-0.587210912,1.715108903,1
-0.918959416,-1.410075819,-1
1.970736245,0.99928666,1
0.533973058,1.902629399,1
-1.147167459,1.899169854,1
-1.482510608,-0.597497719,-1
-0.087527863,-0.424203772,-1
1.696297879,1.803804036,1
0.395043869,-1.573406721,-1
1.90468278,1.739040466,1
0.927170048,-0.615351601,-1
-0.573092352,0.132242423,1
-0.274105238,0.155177197,1
-1.407153757,0.858871799,-1
-1.947689698,-0.376838,-1
0.862264264,-1.388847435,-1
-1.587263057,-0.639068955,-1
-0.214862606,0.50661939,1
0.560404181,-1.770509287,-1
1.96735448,1.406670559,1
-0.017625689,-1.149418617,-1
-0.062601903,0.157848111,1
-1.306230661,-1.454049655,-1
1.019283778,-0.700539438,-1
-0.184418043,0.484305175,1
0.044679135,-0.976071006,-1
-1.169819547,0.539503195,1
-1.085367429,-0.057311572,-1
0.382847985,1.752707667,1
0.299488793,1.430006148,1
-1.691742479,-0.516465849,-1
-1.857837682,-0.74319268,-1
0.571181969,1.314137439,1
1.714460799,-0.192633947,1
0.392369689,-0.736486351,-1
0.243602992,-1.60876585,-1
0.104110896,-1.740397854,-1
1.940380896,0.757829466,1
0.030567289,0.672202416,1
0.731152315,1.618186591,1
0.406164871,-0.793226918,-1
-1.044525289,1.731234819,1
-0.967336293,-1.19206793,-1
0.917238493,1.169515024,1
-0.189716674,-1.101477965,-1
-1.299492926,-1.876973716,-1
0.986793078,1.448136165,1
-1.580049438,0.740430021,-1
1.458179796,1.768299638,1
0.458579887,0.703415042,-1
0.228638155,1.372480594,1
-0.684890724,-0.55242326,1
-0.187474218,-0.430536459,1
0.00176389,0.27074959,1
-1.276534555,-1.619391466,-1
0.118522411,-1.224863714,-1
-1.698897017,0.352265572,-1
-0.888976269,1.006016673,1
-1.149201923,1.468955149,1
-0.860838076,-0.512817051,-1
1.580376412,1.195258198,1
-0.215058707,-1.76674243,-1
1.119939559,0.493742838,1
1.522476139,-0.573434373,1
-0.347503162,0.35171173,1
-1.744766078,1.655138568,1
-0.658050033,-1.202231268,-1
0.894903786,-0.523665505,-1
-0.649538666,0.685633311,1
0.52165649,1.072578203,1
1.362458216,0.088993104,1
1.424526659,1.312300072,1
-0.434562876,0.108384779,1
-0.478024458,0.0070193,1
1.581781704,-0.320106721,1
0.577263052,-0.550806867,-1
0.964314595,-1.506284359,-1
0.421213786,-0.807353882,-1
1.612326446,-0.893294041,1
-0.82507938,1.080901423,1
-1.23495956,1.112725209,1
1.545803773,-1.424850877,-1
0.013357943,0.062104602,1
1.508230172,0.388961942,1
-1.24322551,0.023372096,-1
1.03241221,-0.455601468,-1
0.897995571,-0.295607597,-1
1.774899273,-1.952961061,-1
0.190586348,1.677327082,1
0.846975471,-1.682241227,-1
-0.444379601,0.029497019,1
-1.596507495,1.280686468,1
1.709208354,0.393581673,1
-0.867069999,-0.303385896,1
0.362292635,0.237241083,-1
-1.55855758,1.156377888,1
1.362028128,-1.329138968,-1
-0.728145262,1.88180692,1
1.131405348,-0.105987607,1
-0.929967171,1.718972824,1
-1.12541886,1.603757082,1
0.067187346,1.003528751,1
-0.924197632,0.70627509,1
-1.275326691,0.592053783,-1
0.07430455,-1.707012521,-1
0.251131743,-0.305766326,-1
-1.483372582,0.123297457,-1
-0.974529584,1.770819049,1
0.871741104,0.848898238,1
1.845639746,0.897962302,1
-1.599436614,-0.119485529,-1
1.052890758,-1.518870977,-1
1.791865419,1.132390684,1
1.274538754,-0.247370412,1
-0.766830677,-0.274176081,1
0.598317842,-1.890008484,-1
1.813421804,-1.413752628,-1
1.8149306,-0.309619368,1
-0.640083186,1.068548697,1
-0.95010356,-1.980934219,-1
-1.338184267,0.414382766,-1
-0.711327774,1.622309042,1
0.040500826,0.826646128,1
1.695873885,-0.949851363,-1
0.043838793,1.404304878,1
-0.969514957,-0.66557794,-1
-1.814156452,0.31313707,-1
-0.328574967,-0.268907479,1
1.416006009,-1.793618708,-1
-0.611077289,0.919213152,1
-1.474230718,0.192681657,-1
-0.502052542,1.004887942,1
0.525680914,-1.796915341,-1
-0.439684265,0.85986485,1
0.758511395,-0.809222173,-1
0.75765365,-0.866091161,-1
0.219602493,1.31950851,1
-0.281502369,-1.654418499,-1
-0.189119749,-1.829371524,-1
-0.774226964,-0.605036764,1
0.313415776,0.169344041,-1
1.641481217,0.437843454,1
-1.429583672,-0.914511606,-1
-0.339809499,-1.179076272,-1
-1.156296997,-0.473471407,-1
-0.284998517,-0.109767538,1
-1.469240099,1.3420718,1
-0.159614217,-1.514114015,-1
1.771828237,0.7032325,1
1.047895446,-0.01325912,1
1.731639315,1.608950991,1
-0.11728601,0.205055867,1
0.414352271,-1.485741294,-1
-0.060041278,-0.231960857,-1
-1.564774734,-1.230809215,-1
-1.009092668,-0.260397512,-1
-0.005941877,-1.099466388,-1
-0.508533168,1.844385128,1
1.738765481,-0.20629014,1
0.095944311,1.108579941,1
-0.731421313,-1.367120902,-1
-0.888135882,1.46723433,1
1.150162031,-1.175417577,-1
0.80985005,-1.288201268,-1
-1.339889445,-1.340435415,-1
-1.742169845,0.261075909,-1
1.018822487,0.908724084,1
0.481640132,1.503675956,1
-1.321692933,0.833697535,-1
-1.751143791,-0.090147156,-1
-1.563882926,1.281119974,1
-0.473134593,-1.933551157,-1
-1.322756342,1.984444405,1
-0.805389832,0.539579343,1
-1.23116186,-0.286098476,-1
-0.971319915,-1.886428269,-1
-1.275072709,1.013330802,1
-0.090745161,-1.165464099,-1
1.082948172,1.997821621,1
-1.88885151,1.628996773,1
0.109243108,0.849860127,1
1.521276276,0.923731536,1
-0.507746512,-0.110048315,1
-1.808163473,1.450042748,1
-1.445487013,-1.33833951,-1
-0.714031518,0.481711702,1
-1.380673555,-0.83067442,-1
-1.471087311,-0.175433065,-1
-1.114776289,-1.817443164,-1
-1.094476815,-1.289352992,-1
-1.474333865,-1.768271728,-1
1.926253841,1.777640934,1
-0.691945093,-0.629026103,1
0.027757988,0.071802283,-1
0.725770059,0.500981341,-1
-1.603323587,-1.050940585,-1
-1.524389767,0.064495658,-1
-1.798241362,1.226167311,1
1.717015679,-0.606941062,1
0.694848931,1.434749812,1
-1.620568578,-1.862244955,-1
-0.029615517,1.883988583,1
-0.153792637,0.980440545,1
-0.499133877,-0.906979033,1
1.964396878,0.708424406,1
-1.294597145,-0.608210128,-1
1.253740834,1.788082086,1
-1.726213451,-0.6455049,-1
-0.398201013,-1.873147184,-1
-1.435422697,-0.58565681,-1
-1.22676055,-0.451505649,-1
1.365406867,-0.57221136,1
0.879655953,1.839874424,1
-0.931151668,-0.465047181,-1
-0.019993421,0.185350484,1
-1.667544409,1.701293903,1
-0.584463038,1.667438108,1
1.876835221,-1.029068029,-1
0.498856759,0.868363355,-1
0.658472999,-0.604215857,-1
-0.750041374,0.217133403,1
-0.377241549,0.971889652,1
1.984309486,1.278793274,1
1.420329425,1.47862906,1
1.814193584,-1.856539463,-1
1.249220369,-1.119902386,-1
1.128728463,-0.532107161,-1
-0.928487484,-0.777214232,-1
1.048606118,0.91132183,1
1.945246357,0.798915065,1
-0.825577804,1.640243707,1
-0.402595572,1.382410439,1
1.248526095,1.114178561,1
-1.691393323,-0.396626287,-1
-0.545212761,0.307218635,1
-0.229630131,-1.694562215,-1
-1.37314347,1.491899403,1
0.328821081,1.825142942,1
1.880648715,0.022124319,1
1.957999334,1.697465455,1
-1.294191854,-1.461945869,-1
